train_loss,val_loss,val_acc,gap_m
2.7539525,2.8336575,5.625,0.00958936034620458
2.602049,2.8537374,6.25,0.007903815604841782
2.520425,2.8958526,6.25,0.014309798907188682
2.4924679,2.9209433,5.625,0.003296813006053136
2.471265,2.94793,5.625,0.012318159555221586
2.4564,2.94731,8.125,0.006898231940207488
2.439618,2.9302201,5.625,0.0031577613826023867
2.4297814,2.9217892,7.5,0.005769903809913526
2.417485,2.889678,8.125,0.011854099261562728
2.4044137,2.8728778,10.0,0.010582756075733533
2.394252,2.883552,10.0,0.008829940036233063
2.3855162,2.882777,8.75,0.014231702015253894
2.3766234,2.8791912,8.75,0.006929607656335194
2.3697839,2.8694673,10.0,0.00855237884375997
2.3629384,2.8414135,11.25,0.0135000029291025
2.353297,2.8803823,13.750000000000002,0.015022887448745678
2.3487508,2.8490467,11.875,0.01697692184021716
2.341491,2.849928,11.25,0.011326259691025832
2.3330986,2.8672078,12.5,0.012192907110845731
2.3395202,2.8615756,7.5,0.0039653911344451846
2.3417172,2.8832269,10.625,0.010208316332822133
2.3500373,2.8174205,11.25,0.01752569723383906
2.3261323,2.85689,9.375,0.015270686543991302
2.3110693,2.813138,11.875,0.01408339045686703
2.300763,2.7995515,15.0,0.020961415956795244
2.3012986,2.807066,15.625,0.01975164668785795
2.2791898,2.8254817,13.125,0.01342248323679112
2.2595677,2.8185248,14.374999999999998,0.017370765625030697
2.2442808,2.7697787,16.25,0.027497330904664177
2.2319245,2.7611437,15.0,0.020572291564975156
2.2186298,2.795697,15.625,0.025341375941727858
2.22614,2.7809367,12.5,0.014022951496471647
2.2007961,2.7931082,14.374999999999998,0.01856291826457181
2.1819549,2.8015575,18.75,0.02847417564554361
2.178405,2.820156,15.0,0.0186448553787899
2.1685207,2.8095584,15.0,0.02259394578936118
2.167672,2.798689,12.5,0.01614007127389692
2.1682286,2.824699,13.125,0.013849291275447423
2.1515713,2.8245225,13.125,0.016631106849648723
2.1302776,2.7938485,18.125,0.027846878736405286
2.115678,2.7754893,16.875,0.02932495361836951
2.1175594,2.8132687,15.0,0.019082844760251225
2.1020014,2.7979894,16.25,0.026154684864016144
2.0934389,2.783753,16.875,0.028078542341084062
2.0791094,2.7485366,17.5,0.032913732405929236
2.078547,2.8724408,13.750000000000002,0.01571906911603062
2.0787249,2.773315,13.750000000000002,0.01939981939609529
2.0614336,2.7736695,15.0,0.023230868724505194
2.0575192,2.7928247,17.5,0.029936424840547787
2.0493457,2.8222134,10.625,0.01011156022017648
2.0459533,2.7758486,18.125,0.03314959862076525
2.0420973,2.7497933,17.5,0.042640182311169984
2.0325482,2.7705512,18.125,0.03568161647941306
2.0307295,2.7905324,14.374999999999998,0.020847752084667527
2.0272646,2.7254164,18.75,0.04393229010296512
2.0290012,2.810159,13.750000000000002,0.023424369844447658
2.0215282,2.7866318,16.25,0.02760732686147141
2.018252,2.7691193,15.0,0.02675536033620031
2.0144038,2.8002877,16.875,0.032959514622371115
2.0116522,2.773007,18.125,0.03778949373049254
2.009862,2.798219,15.625,0.02859122412876612
2.0112698,2.7765305,17.5,0.03338137112347219
2.0075014,2.7760406,14.374999999999998,0.021488715108118193
2.0058107,2.761392,16.25,0.03373034260170538
2.0093021,2.7712903,21.875,0.046375680461783864
2.0211887,2.7687209,16.875,0.0330593270035755
2.0119934,2.7713242,16.875,0.03622255874377095
2.0112908,2.766377,18.125,0.03643069266516263
2.019935,2.8007765,15.0,0.02339001584482986
2.0080543,2.7682261,17.5,0.03251325420190826
2.0051517,2.7835023,15.0,0.025687352248712443
2.0053215,2.7902539,17.5,0.031121634477866873
1.9985687,2.7700706,17.5,0.034265958491871536
1.9970521,2.7836387,18.125,0.03641909125166928
1.9948378,2.7629166,19.375,0.039445695450532975
1.9939009,2.7716503,16.875,0.02946622977462427
1.9931632,2.7659512,20.625,0.04364962096460631
1.9916137,2.7444363,20.625,0.04574640180497097
1.9910053,2.7675872,20.625,0.039800278022312896
1.9900492,2.779611,16.875,0.02650044095411981
1.9893446,2.7772374,16.875,0.02681635866735905
1.9871874,2.7677524,18.125,0.036499181475824476
1.987499,2.7689514,16.875,0.02642083774224569
1.9870228,2.7583559,18.125,0.0341120939239195
1.9873874,2.7774074,17.5,0.031517577239474126
1.9888549,2.770474,20.0,0.04319275126740583
1.9896483,2.7583992,20.625,0.044973732447755925
1.988068,2.7654853,19.375,0.038041537025642974
1.9867818,2.7495759,22.5,0.05098023161028871
1.9870967,2.7642417,18.125,0.03494131843509517
1.985973,2.7796032,17.5,0.03081935107035499
1.986086,2.7703674,19.375,0.037875514586452996
1.985741,2.7751043,18.75,0.03282405327784276
1.9861486,2.7622766,18.125,0.03700242754944108
1.9863939,2.75619,20.0,0.04240770332056981
1.9857656,2.7812703,18.75,0.03534628482730319
1.9862254,2.762169,18.75,0.03794981655864268
1.98525,2.751844,21.25,0.047572046678630416
1.9852642,2.7553854,18.75,0.03977229448365398
1.987062,2.7672486,18.75,0.03604828151771591
